id_perkara;jenis_perkara;tingkat;usia_tersangka;jenis_kelamin;domisili;pendidikan;jumlah_bb;nilai_kerugian;pasal_utama;residivis;tgl_mulai;tgl_selesai;lama_proses_hari;status_akhir
PIDUM-100070;Narkotika;Penuntutan;41.0;L;DKI;SD;1;15638;UU_35_2009_112;Tidak;6/26/2024;8/17/2024;52;P21
pidum-100071;Penipuan;Prapenuntutan;27.0;L;Sumut;SMA;2;219623;KUHP_351;Tidak;1/27/2024;5/3/2024;97;Tahap II
PIDUM-100072;Pencurian;Penuntutan;21.0;L;Sumut;SMP;1;108442;UU_35_2009_112;Ya;1/1/2024;5/10/2024;130;Tahap II
PIDUM-100073;Penganiayaan;Prapenuntutan;nan;L;Jatim;SMP;0;278501;KUHP_351;Tidak;7/21/2024;11/9/2024;111;Tahap II
PIDUM-100074;Perjudian;Prapenuntutan;29.0;L;Sulsel;D3;3;418409;UU_35_2009_112;Ya;5/27/2024;8/12/2024;77;Tahap II
PIDUM-100075;Narkotika;Penuntutan;32.0;L;Jateng;SMP;3;197829;KUHP_351;Ya;6/5/2024;7/24/2024;49;P21
PIDUM-100076;  Narkotika  ;Prapenuntutan;42.0;L;Jateng;SMA;90;860485;UU_23_2004_44;Tidak;6/26/2024;10/6/2024;102;P21
PIDUM-100077;Narkotika;Penuntutan;21.0;L;Banten;S1;1;136120;UU_35_2009_112;Tidak;1/10/2024;4/9/2024;90;RJ
PIDUM-100078;Pencurian;Prapenuntutan;36.0;L;Jabar;SMP;3;304010;KUHP_362;Tidak;2/23/2024;6/12/2024;110;P21
PIDUM-100079;Pencurian;Prapenuntutan;25.0;L;Jabar;S1;3;364012;UU_35_2009_112;Tidak;1/15/2024;4/24/2024;100;RJ
PIDUM-100080;;Prapenuntutan;29.0;L;Sulsel;S1;0;147657;UU_23_2004_44;Tidak;8/26/2024;12/20/2024;116;P21
PIDUM-100081;Pencurian;Prapenuntutan;31.0;L;Sumut;SMA;1;354610;KUHP_362;Ya;4/27/2024;6/19/2024;53;SP3
PIDUM-100082;Pencurian;PENUNTUTAN;17.0;L;Banten;SMP;4;89798;KUHP_378;Tidak;2/18/2024;6/24/2024;127;P21
PIDUM-100083;Perjudian;Penuntutan;23.0;L;Sulsel;SMP;1;106663;UU_35_2009_112;Ya;1/8/2024;3/30/2024;82;P21
PIDUM-100084;KDRT;Penuntutan;43.0;L;DKI;SMA;2;43805;KUHP_362;Tidak;2/14/2024;7/21/2024;158;SP3
PIDUM-100085;  Penipuan  ;Prapenuntutan;38.0;L;Jateng;SMP;3;207193;KUHP_303;Ya;2/17/2024;4/4/2024;47;Tahap II
PIDUM-100086;Perjudian;penuntutan;30.0;L;Jateng;SMP;1;225314;KUHP_351;Tidak;6/5/2024;10/27/2024;144;Tahap II
PIDUM-100087;Penganiayaan;Penuntutan;33.0;L;Sumut;S1;3;529274;KUHP_351;Tidak;5/1/2024;7/22/2024;82;RJ
PIDUM-100088;;Penuntutan;28.0;L;Jabar;SMP;2;359022;KUHP_303;Tidak;9/18/2024;11/5/2024;48;RJ
PIDUM-100089;Pencurian;Prapenuntutan;43.0;L;Sumut;SMA;5;122418;KUHP_378;Ya;3/17/2024;5/11/2024;55;Tahap II
PIDUM-100090;KDRT;Prapenuntutan;29.0;P;Sulsel;SD;1;50102;UU_23_2004_44;Tidak;1/16/2024;3/18/2024;62;SP3
PIDUM-100091;KDRT;Penuntutan;33.0;L;Jabar;SMA;1;250910;KUHP_378;Tidak;5/29/2024;8/28/2024;91;P21
PIDUM-100092;Penipuan;Prapenuntutan;nan;L;Banten;S1;5;494228;KUHP_303;Tidak;6/20/2024;9/23/2024;95;RJ
PIDUM-100093;KDRT;Prapenuntutan;24.0;P;Sulsel;SMP;0;346343;KUHP_303;Tidak;4/8/2024;5/30/2024;52;RJ
PIDUM-100094;Narkotika;Penuntutan;45.0;L;Jatim;SMP;2;481411;KUHP_362;Tidak;6/25/2024;9/7/2024;74;SP3
PIDUM-100095;Penganiayaan;Prapenuntutan;17.0;L;DKI;SMA;2;131677;KUHP_303;Tidak;3/22/2024;8/29/2024;160;Tahap II
PIDUM-100096;Narkotika;Prapenuntutan;45.0;L;DIY;SMA;3;102066;KUHP_378;Tidak;3/29/2024;8/20/2024;144;SP3
pidum-100097;Narkotika;Prapenuntutan;27.0;P;Jatim;SMA;1;77893;KUHP_362;Tidak;3/7/2024;6/7/2024;92;SP3
PIDUM-100098;Pencurian;Prapenuntutan;28.0;P;Sulsel;SMP;4;153906;UU_35_2009_112;Tidak;1/4/2024;3/20/2024;76;RJ
PIDUM-100099;Narkotika;Prapenuntutan;15.0;L;Jatim;SMP;4;150453;KUHP_362;Tidak;1/14/2024;4/2/2024;79;P21
pidum-100100;KDRT;Prapenuntutan;nan;L;Jabar;S1;2;200121;KUHP_378;Tidak;1/4/2024;4/12/2024;99;P21
PIDUM-100101;Pencurian;Prapenuntutan;21.0;L;Jabar;S1;2;143014;UU_35_2009_112;Tidak;5/1/2024;6/4/2024;34;P21
PIDUM-100102;Penipuan;Penuntutan;25.0;L;Jabar;SMA;2;142396;UU_23_2004_44;Ya;2/15/2024;4/19/2024;64;Tahap II
PIDUM-100103;KDRT;Penuntutan;29.0;L;Jatim;S1;2;74854;KUHP_362;Tidak;3/26/2024;4/3/2024;8;RJ
PIDUM-100104;KDRT;Penuntutan;nan;L;Sumut;SMA;5;417324;KUHP_378;Tidak;10/12/2024;1/10/2025;90;P21
PIDUM-100105;KDRT;PRAPENUNTUTAN;32.0;L;DKI;SMA;4;175697;KUHP_362;Tidak;2/4/2024;5/14/2024;100;P21
PIDUM-100106;Narkotika;Prapenuntutan;33.0;P;Sumut;SMP;0;136701;KUHP_378;Ya;3/4/2024;4/28/2024;55;P21
PIDUM-100107;KDRT;Prapenuntutan;21.0;L;Jabar;SMA;3;77077;KUHP_378;Tidak;6/18/2024;11/2/2024;137;P21
  PIDUM-100108  ;Penipuan;Prapenuntutan;23.0;L;Sulsel;SMA;3;42962;KUHP_378;Tidak;2/1/2024;2/26/2024;25;SP3
  PIDUM-100109;PENCURIAN;prapenuntutan;47.0;L;Sulsel;SD;2;601970;KUHP_303;Tidak;1/10/2024;1/26/2024;16;SP3
  PIDUM-100110  ;;Penuntutan;24.0;L;Jateng;SMA;2;283406;KUHP_303;Tidak;2/11/2024;5/4/2024;83;P21
PIDUM-100111;Penipuan;Prapenuntutan;45.0;L;Sumut;D3;3;32083;KUHP_362;Tidak;1/22/2024;5/17/2024;116;RJ
PIDUM-100112;  Penganiayaan  ;Prapenuntutan;28.0;P;DKI;SMA;6;349109;KUHP_351;Tidak;11/14/2024;4/5/2025;142;RJ
PIDUM-100113;  Penipuan  ;Prapenuntutan;31.0;L;Sulsel;SMA;1;409413;KUHP_378;Tidak;7/17/2024;9/11/2024;56;P21
PIDUM-100114;Penipuan;Penuntutan;40.0;L;Jateng;S1;0;184310;UU_35_2009_112;Tidak;4/30/2024;8/26/2024;118;Tahap II
PIDUM-100115;Pencurian;prapenuntutan;42.0;L;DKI;SD;1;804608;KUHP_362;Tidak;9/3/2024;11/15/2024;73;SP3
PIDUM-100116;  nan  ;Penuntutan;30.0;P;Jabar;SMA;1;202140;UU_35_2009_112;Tidak;7/14/2024;9/20/2024;68;P21
PIDUM-100117;Penipuan;Prapenuntutan;27.0;L;Sumut;D3;0;39465;UU_35_2009_112;Ya;1/25/2024;5/14/2024;110;Tahap II
PIDUM-100118;Narkotika;PENUNTUTAN;30.0;L;DIY;SMA;1;234490;UU_35_2009_112;Tidak;9/24/2024;1/3/2025;101;P21
PIDUM-100119;Pencurian;Penuntutan;34.0;L;Banten;SMP;4;207917;KUHP_303;Tidak;4/3/2024;4/14/2024;11;P21
PIDUM-100120;Pencurian;Prapenuntutan;39.0;P;Jabar;SMP;1;89027;UU_35_2009_112;Tidak;7/16/2024;11/27/2024;134;SP3
PIDUM-100121;  Penganiayaan  ;Prapenuntutan;31.0;L;Sulsel;S1;6;288819;KUHP_362;Tidak;9/28/2024;2/5/2025;130;SP3
PIDUM-100122;KDRT;Prapenuntutan;36.0;L;Jatim;SMA;1;30709;KUHP_362;Tidak;2/15/2024;4/4/2024;49;RJ
PIDUM-100123;Penganiayaan;Prapenuntutan;45.0;P;DIY;S1;2;438259;KUHP_303;Ya;1/14/2024;4/13/2024;90;P21
PIDUM-100124;narkotika;Penuntutan;34.0;L;Jatim;SMA;3;67634;UU_23_2004_44;Tidak;2/1/2024;5/5/2024;94;Tahap II
pidum-100125;Penganiayaan;Penuntutan;33.0;L;DKI;SMA;0;60782;KUHP_378;Ya;3/7/2024;5/31/2024;85;SP3
PIDUM-100126;Penganiayaan;PENUNTUTAN;17.0;L;Jatim;D3;6;145244;KUHP_351;Ya;7/23/2024;9/13/2024;52;Tahap II
  PIDUM-100127  ;Perjudian;Penuntutan;nan;P;DIY;SMA;4;250940;UU_23_2004_44;Tidak;8/24/2024;10/11/2024;48;P21
PIDUM-100128;PENIPUAN;Prapenuntutan;34.0;L;DIY;SMA;1;191745;KUHP_378;Tidak;1/1/2024;3/14/2024;73;SP3
PIDUM-100129;PENCURIAN;Prapenuntutan;30.0;P;Jabar;SMA;2;77446;KUHP_303;Ya;3/26/2024;7/25/2024;121;Tahap II
PIDUM-100130;;Penuntutan;26.0;L;Jateng;D3;7;98116;KUHP_303;Tidak;3/5/2024;6/9/2024;96;P21
PIDUM-100131;pencurian;Prapenuntutan;33.0;L;Jabar;SMA;2;52415;KUHP_351;Tidak;1/31/2024;3/31/2024;60;SP3
PIDUM-100132;Narkotika;Penuntutan;30.0;P;DKI;SMA;2;130003;UU_35_2009_112;Tidak;1/16/2024;4/30/2024;105;Tahap II
PIDUM-100133;Penipuan;Prapenuntutan;41.0;L;Sulsel;SD;5;476880;KUHP_362;Tidak;2/19/2024;2/24/2024;5;Tahap II
PIDUM-100134;Pencurian;prapenuntutan;31.0;L;Jatim;S1;4;162062;KUHP_351;Tidak;12/9/2024;4/8/2025;120;P21
PIDUM-100135;Penganiayaan;Penuntutan;24.0;L;Jateng;SD;1;384390;KUHP_303;Tidak;2/16/2024;2/21/2024;5;Tahap II
PIDUM-100136;Penganiayaan;Prapenuntutan;nan;L;Sumut;SMA;4;697600;UU_23_2004_44;Tidak;3/28/2024;5/27/2024;60;RJ
PIDUM-100137;KDRT;Penuntutan;29.0;L;Banten;SMA;2;90398;KUHP_378;Tidak;5/25/2024;6/24/2024;30;RJ
PIDUM-100138;KDRT;Penuntutan;35.0;L;DIY;SMA;5;135053;UU_35_2009_112;Tidak;2/24/2024;3/18/2024;23;RJ
PIDUM-100139;Pencurian;Penuntutan;26.0;L;Jateng;SMA;2;1427154;KUHP_362;Tidak;3/4/2025;7/3/2025;121;Tahap II
PIDUM-100140;  Penipuan  ;Penuntutan;25.0;P;Sulsel;SD;1;689928;KUHP_362;Tidak;1/28/2025;3/25/2025;56;P21
  PIDUM-100141  ;Penganiayaan;PENUNTUTAN;31.0;L;Sumut;SMA;0;30564;KUHP_351;Tidak;2/4/2024;5/2/2024;88;Tahap II
pidum-100142;Penganiayaan;Penuntutan;31.0;P;Jateng;D3;2;239701;UU_35_2009_112;Tidak;3/23/2024;6/4/2024;73;P21
PIDUM-100143;Penipuan;prapenuntutan;35.0;L;Jabar;D3;1;162845;KUHP_378;Tidak;2/12/2024;5/16/2024;94;Tahap II
PIDUM-100144;KDRT;Penuntutan;28.0;L;Sumut;SMP;1;371927;KUHP_362;Tidak;2/10/2024;4/28/2024;78;SP3
PIDUM-100145;KDRT;Penuntutan;15.0;L;Banten;S1;1;77266;UU_23_2004_44;Tidak;1/5/2024;1/28/2024;23;RJ
PIDUM-100146;Narkotika;Prapenuntutan;27.0;L;Sulsel;SMA;3;70290;KUHP_351;Tidak;4/22/2024;8/14/2024;114;P21
PIDUM-100147;Penganiayaan;Prapenuntutan;38.0;L;DIY;S1;6;82778;KUHP_303;Tidak;3/24/2024;5/18/2024;55;P21
PIDUM-100148;Penipuan;Penuntutan;28.0;L;Sulsel;SMA;2;91864;UU_35_2009_112;Tidak;1/7/2024;1/19/2024;12;P21
PIDUM-100149;Penganiayaan;Penuntutan;28.0;P;DKI;SMA;0;367810;KUHP_362;Tidak;2/9/2024;4/6/2024;57;RJ
PIDUM-100150;Narkotika;Penuntutan;39.0;P;DKI;S1;1;49951;KUHP_303;Ya;10/13/2024;2/25/2025;135;Tahap II
PIDUM-100151;Penganiayaan;Prapenuntutan;24.0;L;Jateng;S1;2;87324;KUHP_378;Ya;2/2/2024;5/21/2024;109;Tahap II
PIDUM-100152;Penipuan;Penuntutan;17.0;P;Sumut;SMA;5;27200;UU_35_2009_112;Tidak;1/19/2024;3/20/2024;61;P21
PIDUM-100153;  nan  ;Penuntutan;29.0;L;Jateng;SMP;4;445573;UU_35_2009_112;Tidak;3/21/2024;5/21/2024;61;SP3
PIDUM-100154;Pencurian;Penuntutan;26.0;L;Jatim;SMA;1;580143;KUHP_362;Tidak;5/24/2025;7/25/2025;62;RJ
PIDUM-100155;KDRT;Penuntutan;22.0;P;Banten;SMA;2;117351;KUHP_378;Ya;2/3/2024;7/10/2024;158;Tahap II
PIDUM-100156;Pencurian;Penuntutan;nan;L;DIY;SMP;4;120819;UU_23_2004_44;Tidak;5/13/2024;8/11/2024;90;P21
PIDUM-100157;Narkotika;Prapenuntutan;35.0;L;Jateng;SMP;3;256074;KUHP_362;Tidak;6/21/2024;9/21/2024;92;SP3
PIDUM-100158;Penganiayaan;PENUNTUTAN;30.0;L;Jatim;S1;2;711038;KUHP_351;Tidak;2/2/2024;5/28/2024;116;SP3
PIDUM-100159;;PRAPENUNTUTAN;33.0;L;Sumut;SD;2;244901;UU_23_2004_44;Tidak;6/5/2024;8/28/2024;84;SP3
pidum-100160;pencurian;Penuntutan;47.0;L;Banten;SMA;2;81020;KUHP_351;Tidak;2/25/2024;4/29/2024;64;P21
PIDUM-100161;Pencurian;Penuntutan;27.0;L;DIY;SMP;0;32246;KUHP_378;Tidak;4/30/2024;7/6/2024;67;P21
PIDUM-100162;Perjudian;Prapenuntutan;33.0;P;DKI;SMA;5;53363;UU_35_2009_112;Tidak;4/30/2024;7/11/2024;72;Tahap II
PIDUM-100163;penganiayaan;Prapenuntutan;nan;L;Jatim;SD;3;175118;KUHP_378;Tidak;4/2/2024;6/14/2024;73;RJ
PIDUM-100164;KDRT;Penuntutan;23.0;L;Sumut;SMP;3;84513;UU_35_2009_112;Tidak;1/12/2024;4/25/2024;104;P21
PIDUM-100165;Narkotika;Prapenuntutan;25.0;L;Banten;D3;2;197791;KUHP_351;Tidak;8/4/2024;10/20/2024;77;P21
PIDUM-100166;Narkotika;Penuntutan;26.0;L;Jatim;S1;5;93627;KUHP_362;Tidak;2/16/2024;5/30/2024;104;P21
PIDUM-100167;Narkotika;Prapenuntutan;34.0;L;Jateng;SMP;2;56491;KUHP_303;Tidak;1/25/2024;4/5/2024;71;Tahap II
PIDUM-100168;Narkotika;Prapenuntutan;52.0;L;Jabar;SMA;2;50159;KUHP_303;Tidak;1/5/2024;3/23/2024;78;P21
PIDUM-100169;Penipuan;Penuntutan;24.0;P;DKI;SMA;2;776346;KUHP_378;Tidak;4/17/2024;4/22/2024;5;Tahap II
pidum-100170;PENGANIAYAAN;Penuntutan;27.0;P;Jateng;S1;0;47695770;KUHP_378;Tidak;5/15/2024;9/3/2024;111;P21
PIDUM-100171;penganiayaan;Penuntutan;30.0;L;Jateng;D3;3;918519;KUHP_351;Ya;1/3/2024;3/31/2024;88;RJ
PIDUM-100172;Perjudian;Prapenuntutan;34.0;P;Sumut;SMA;4;279274;KUHP_362;Tidak;3/27/2024;7/19/2024;114;SP3
PIDUM-100173;;Penuntutan;33.0;L;Sumut;SMA;1;105874;KUHP_303;Tidak;1/31/2024;2/5/2024;5;RJ
PIDUM-100174;  Perjudian  ;Penuntutan;42.0;P;Banten;S1;4;611298;UU_35_2009_112;Tidak;5/4/2024;10/9/2024;158;Tahap II
PIDUM-100175;Narkotika;Penuntutan;15.0;L;Sumut;SD;3;157460;KUHP_351;Tidak;1/23/2024;4/1/2024;69;P21
PIDUM-100176;Penipuan;Penuntutan;15.0;L;Jatim;SMA;2;202975;KUHP_362;Tidak;5/20/2024;9/16/2024;119;P21
pidum-100177;Narkotika;Penuntutan;26.0;L;DKI;S1;5;155932;KUHP_362;Tidak;2/28/2024;4/1/2024;33;P21
PIDUM-100178;Narkotika;prapenuntutan;40.0;L;Jateng;SMA;3;8544;KUHP_351;Tidak;11/27/2024;3/6/2025;99;Tahap II
PIDUM-100179;Pencurian;PRAPENUNTUTAN;16.0;P;Banten;SMA;2;809955;KUHP_303;Tidak;1/18/2024;2/19/2024;32;P21
PIDUM-100180;  Narkotika  ;Penuntutan;nan;P;Sulsel;SMA;4;265934;UU_23_2004_44;Tidak;2/20/2024;4/10/2024;50;P21
PIDUM-100181;pencurian;Prapenuntutan;36.0;L;Sulsel;SMA;2;226346;UU_23_2004_44;Tidak;1/15/2024;6/14/2024;151;P21
